Index,Name,Color
1,S0502-Y,#f4fcf0
2,S0502-Y,#f4fcf0
3,S1002-Y,#e0e8dc
4,S1502-Y,#d0d8cc
5,S2002-Y,#c0c4c0
6,S3560-Y,#c09c24
7,S0580-Y,#fcfc44
8,S0505-Y20R,#fcfcec
9,S3560-Y30R,#c47010
10,S0505-Y50R,#fcf4e0
11,S0603-Y80R,#f8f4f4
12,S0505-Y80R,#fcf4ec
13,S0505-Y80R,#fcf4ec
14,S1005-Y80R,#e8dcd4
15,S2005-Y80R,#c8bcbc
16,S0507-Y80R,#fcf0ec
17,S0510-Y80R,#fcecdc
18,S1010-Y80R,#ecd4cc
19,S1510-Y80R,#dcc4bc
20,S2010-Y80R,#c8b0a8
21,S3010-Y80R,#b09894
22,S0515-Y80R,#fce0d0
23,S1015-Y80R,#f4ccbc
24,S1515-Y80R,#e8c0b4
25,S0520-Y80R,#fcd4c0
26,S1020-Y80R,#f8c4ac
27,S2020-Y80R,#d4a490
28,S3020-Y80R,#bc8874
29,S4020-Y80R,#a46858
30,S5020-Y80R,#845040
31,S6020-Y80R,#683428
32,S7020-Y80R,#441408
33,S0530-Y80R,#fcc0a4
34,S1030-Y80R,#fca88c
35,S2030-Y80R,#e08c70
36,S3030-Y80R,#c0705c
37,S4030-Y80R,#a05440
38,S5030-Y80R,#803824
39,S6030-Y80R,#601c0c
40,S0540-Y80R,#fca884
41,S1040-Y80R,#fc9874
42,S2040-Y80R,#e87c5c
43,S3040-Y80R,#c86040
44,S4040-Y80R,#a04028
45,S5040-Y80R,#741c08
46,S1050-Y80R,#fc8858
47,S2050-Y80R,#ec6840
48,S3050-Y80R,#c04820
49,S4050-Y80R,#942808
50,S0560-Y80R,#fc804c
51,S1060-Y80R,#fc703c
52,S2060-Y80R,#e85424
53,S3060-Y80R,#bc3408
54,S2570-Y80R,#c02800
55,S0580-Y80R,#fc5810
56,S1580-Y80R,#f03800
57,S4010-Y90R,#947c78
58,S6010-Y90R,#684c44
59,S8010-Y90R,#20080c
60,S0502-R,#f8f4fc
61,S0505-R20B,#f0e4f4
62,S0505-R50B,#e8e4fc
63,S0603-R80B,#dce4f8
64,S0505-R80B,#d8e4fc
65,S0505-R80B,#d8e4fc
66,S1005-R80B,#ccd4e8
67,S2005-R80B,#a8b4d0
68,S1510-R80B,#a0b4dc
69,S3010-R80B,#7484b0
70,S0515-R80B,#acc8f8
71,S0520-R80B,#94b8f4
72,S1020-R80B,#88a8e4
73,S2020-R80B,#6c84cc
74,S3020-R80B,#5464b8
75,S4020-R80B,#384498
76,S5020-R80B,#1c287c
77,S6020-R80B,#000464
78,S7020-R80B,#000040
79,S0530-R80B,#7098f4
80,S1030-R80B,#6484e8
81,S2030-R80B,#4c60d0
82,S3030-R80B,#2c44ac
83,S4030-R80B,#14209c
84,S5030-R80B,#00007c
85,S6030-R80B,#000058
86,S1040-R80B,#4468ec
87,S2040-R80B,#3048d0
88,S3040-R80B,#101cb8
89,S4040-R80B,#04049c
90,S5040-R80B,#000074
91,S1550-R80B,#1034e0
92,S2050-R80B,#1420d4
93,S3050-R80B,#0000b0
94,S4050-R80B,#00008c
95,S4550-R80B,#000070
96,S2060-R80B,#0000d4
97,S3060-R80B,#0000a8
98,S2565-R80B,#0000bc
99,S4010-R90B,#586894
100,S6010-R90B,#243460
101,S8010-R90B,#000024
102,S0540-R90B,#247ce4
103,S5540-R90B,#00004c
104,S1050-R90B,#0050d4
105,S0502-B,#e0f0fc
106,S0505-B20G,#c8e8f4
107,S0505-B50G,#ccecf0
108,S1005-B50G,#bcdce0
109,S2005-B50G,#a0bcc4
110,S0510-B70G,#a8e8e4
111,S1010-B70G,#a0d4d4
112,S2010-B70G,#78b4b0
113,S0505-B80G,#d4f4f0
114,S0507-B80G,#c4f4ec
115,S1510-B80G,#90ccc0
116,S0515-B80G,#8cecd0
117,S1040-B80G,#00c470
118,S2040-B80G,#00a050
119,S3040-B80G,#007c34
120,S4040-B80G,#005c18
121,S5040-B80G,#003400
122,S5540-B80G,#002400
123,S1050-B80G,#00bc50
124,S2050-B80G,#009830
125,S3050-B80G,#007014
126,S4050-B80G,#005000
127,S4550-B80G,#003400
128,S2555-B80G,#007808
129,S3555-B80G,#005800
130,S3010-B90G,#68a094
131,S4010-B90G,#448074
132,S6010-B90G,#144c40
133,S8010-B90G,#001008
134,S0520-B90G,#78f0bc
135,S1020-B90G,#60d8a8
136,S2020-B90G,#48b890
137,S3020-B90G,#20986c
138,S4020-B90G,#0c7c54
139,S5020-B90G,#00643c
140,S6020-B90G,#004020
